com_id,year,cand_id,name,party,state,district,0,1,2,3,median,mean,individual,pac
N00001945,2016,S6MD00140,Barbara A Mikulski ,D,MD,MDS2,110350.0,10000.0,0.0,0.0,250.0,-205.08,-35889.0,-78800.0
N00001955,2016,S6MD03177,Ben Cardin ,D,MD,MDS1,448282.0,25000.0,0.0,0.0,500.0,746.1935483870967,92528.0,373550.0
N00001971,2016,H6MD07160,Elijah E Cummings ,D,MD,MD07,972878.0,176200.0,0.0,0.0,500.0,1014.426614481409,518372.0,597606.0
N00002039,2016,H8VA11039,Leslie L Byrne ,D,VA,VA11,9700.0,0.0,0.0,0.0,0.0,0.0,0.0,9700.0
N00002083,2016,H0VA08040,Jim Moran ,D,VA,VA08,26500.0,0.0,0.0,0.0,250.0,300.0,3000.0,19000.0
N00002097,2016,S6VA00093,Mark Warner ,D,VA,VAS2,1252457.0,174200.0,0.0,0.0,1000.0,1167.7190476190476,980884.0,425900.0
N00002147,2016,H6VA01117,Bobby Scott ,D,VA,VA03,528156.0,205000.0,0.0,0.0,250.0,541.7269372693727,146808.0,554847.0
N00002198,2016,H6WV04057,Nick Rahall ,D,WV,WV03,3452.0,0.0,0.0,0.0,0.0,0.0,0.0,1952.0
N00002213,2016,S4WV00084,John R Raese ,R,WV,WVS1,77.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0
N00002221,2016,S4NC00089,Richard Burr ,R,NC,NCS2,9983381.0,1852167.0,142910.0,46804.0,500.0,949.1486503773826,7419495.0,25325008.0
N00002260,2016,H6NC04037,David Price ,D,NC,NC04,637858.0,110000.0,0.0,0.0,250.0,419.9968102073365,263338.0,469520.0
N00002269,2016,H6NC02080,Bob Etheridge ,D,NC,NC02,500.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0
N00002299,2016,H2NC01081,Walter B Jones Jr ,R,NC,NC03,531552.0,67886.0,0.0,0.0,250.0,440.6601941747573,317716.0,241182.0
N00002408,2016,H2SC02042,James E Clyburn ,D,SC,SC06,1649323.0,505000.0,0.0,0.0,100.0,255.80808773132281,373224.0,1754304.0
N00002424,2016,H4SC01073,Mark Sanford ,R,SC,SC01,659235.0,50000.0,0.0,0.0,520.0,966.1582278481012,457959.0,251276.0
N00002492,2016,H2SC05052,John M Spratt Jr ,D,SC,SC05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2000.0
N00002526,2016,H4GA11053,Bob Barr ,R,GA,GA11,2600.0,0.0,0.0,0.0,2600.0,2600.0,2600.0,0.0
