cand_id,name,party,state,donoSetOne,donoSetTwo,donoSetThree,donoSetFour,median,mean,individual,pac
S0CA00199,Dianne Feinstein,D,CA,544602,107400,30000,0,1000,1262.757188,395243,221055
H8CA01109,Mike Thompson,D,CA,1618009,315000,0,0,250,435.4480652,641415,1259166
H4CA16049,Zoe Lofgren,D,CA,1249170,120400,0,0,500,935.888172,870376,479874
H8CA03105,Doug Ose,R,CA,100,0,0,0,0,0,0,-4900
H4AS00036,Amata Coleman Radewagen,R,AS,61850,25000,0,0,687.5,1345,40350,46500
H6OR02116,Greg Walden,R,OR,2736314,500200,0,0,500,754.7713499,1095928,2091586
S6OR00110,Ron Wyden,D,OR,7714991,867700,20000,0,400,885.0118745,6260574,2236966
H6OR03064,Earl Blumenauer,D,OR,1183001,275400,0,0,500,801.6818182,529110,911819
H6OR04047,Peter DeFazio,D,OR,1017029,250400,0,0,25,158.690004,392123,837881
H6WA09025,Adam Smith,D,WA,672747,240000,0,0,500,766.7470238,257627,617620
S8WA00194,Maria Cantwell,D,WA,775270,0,0,0,100,314.3566906,744711,5510
S2WA00189,Patty Murray,D,WA,8104580,903648,0,0,125,375.3479287,6043477,2841114
H6AK00045,Don Young,R,AK,938246,125000,0,0,500,796.2198391,593980,456016
H2TX03118,Sam Johnson,R,TX,879198,179626,0,0,500,803.6688312,247530,797644
H8CA09060,Barbara Lee,D,CA,1334126,125800,0,0,50,280.9211608,1093907,329605
H8CO02087,Mark Udall,D,CO,5088,5000,0,0,-200,-539.4545455,-17802,2088
H0NC10151,Scott Keadle,R,NC,2750,0,0,0,0,0,0,2750
H2AL06035,Spencer Bachus,R,AL,2253,0,0,0,2253,2253,2253,-1000
H2TX00015,Eddie Bernice Johnson,D,TX,373185,80000,0,0,500,737.7272727,81150,361535
H6CA39020,Ed Royce,R,CA,3509744,527700,26932,0,1000,1167.441752,2745823,1352704
H6CA46033,Loretta Sanchez,D,CA,3727475,372800,26361,34487,700,1107.417778,3488366,642801
H6TX12060,Kay Granger,R,TX,1265659,130000,0,0,500,824.390625,738654,650070
S0NH00144,Bob Smith,R,NH,19788,0,0,0,150,226.7936508,14288,60700
H2VA06115,Bob Goodlatte,R,VA,1451204,375980,0,0,500,897.8364084,729941,994743
S2AZ00141,Jeff Flake,R,AZ,1053718,50000,0,0,450,824.6527149,728993,353950
H0CA27085,Adam Schiff,D,CA,819338,80000,0,0,500,913.7798354,444097,442741
H0CA49055,Susan A Davis,D,CA,410439,75000,0,0,300,666.7209302,143345,333594
H0FL08042,Ric Keller,R,FL,18650,5000,0,0,750,1137.5,13650,10000
S4LA00057,David Vitter,R,LA,121581,55000,0,0,1650,1600,9600,152481
H0LA01087,Steve Scalise,R,LA,3284278,1090000,0,0,800,1173.280095,1968764,2324214
H0OH12062,Patrick J Tiberi,R,OH,3764062,776200,0,0,500,774.5654622,1650599,2818163
H0RI02139,Jim Langevin,D,RI,1010746,95000,0,0,400,568.9760536,594011,498835
H0TX07055,John Culberson,R,TX,1102782,97819,11985,31804,955,1041.623333,624974,617366
H0WA02080,Rick Larsen,D,WA,831567,110000,0,0,500,589.1185897,183805,741262
H0WV02104,Mark Hunt,D,WV,119237,60000,0,0,500,738.4375,59075,119162
S4WV00159,Shelley Moore Capito,R,WV,120576,20000,0,0,500,1017.857143,14250,114826
H2CA30143,Xavier Becerra,D,CA,1575356,417000,0,0,500,963.794994,808624,1124500
H6MI12181,Candice S Miller,R,MI,9499,5000,0,0,0,0,0,4499
H8NJ04014,Chris Smith,R,NJ,495123,95000,0,0,500,715.5831533,331315,251708
H8WA07132,Jim McDermott,D,WA,234145,40000,0,0,500,582.8985507,80440,156000
S6UT00063,Orrin G Hatch,R,UT,1667629,230000,0,0,1000,1508.920561,968727,900402
S2TN00058,Lamar Alexander,R,TN,210793,25000,0,0,1000,1352.214286,56793,160000
S4VT00017,Patrick Leahy,D,VT,3105721,551600,0,0,250,622.8109333,2335541,1298799
S6AL00013,Richard C Shelby,R,AL,2758932,552984,10385,17000,1000,1300.245268,1648711,2162693
S6NV00028,Harry Reid,D,NV,139420,145000,0,0,-100,-968.2694394,-535453,-84765
S8FL00166,Bill Nelson,D,FL,984880,90000,0,0,1000,1074.791569,458936,592921
S8NJ00285,Murray Sabrin,R,NJ,50,0,0,0,50,50,50,0
P60007697,Lindsey Graham,R,SC,4427507,792604,62521,33409,500,871.9661836,3970934,3619605
H8OH05036,Robert E Latta,R,OH,880192,125000,0,0,500,645.7783784,358407,620576
H0MO01066,William L Clay Jr,D,MO,514559,165000,0,0,500,688.0185185,74306,587453
S8DE00079,Tom Carper,D,DE,585597,70000,0,0,250,412.8310249,149032,474620
S0IL00261,Mark Kirk,R,IL,7112930,950998,92500,15695,200,533.5094487,5477008,5380718
H0IN02125,Luke Messer,R,IN,1534918,181200,0,0,500,816.5534247,596084,1057381
S8CA00291,Ron Unz,R,CA,1710,0,0,15000,600,11118.33333,66710,0
H0CA15148,Mike Honda,D,CA,2683499,277347,24400,47689,250,490.2378774,2143320,1172663
S0MD00200,Corrogan R Vaughn,R,MD,6510,0,0,0,0,0,0,6510
S0NM00041,Steve Pearce,R,NM,1590686,82236,0,0,500,1000.501572,1272638,477026
H0FL04066,Ander Crenshaw,R,FL,1123102,135000,0,0,500,703.9322638,394906,696446
S0ND00069,Duane Sand,R,ND,3905,6000,0,0,4952.5,4952.5,9905,0
H0MN04049,Betty McCollum,D,MN,785191,90000,10000,0,250,698.9980431,357188,515983
H0VA07042,Eric Cantor,R,VA,18700,0,0,0,-390,281.222973,83242,-99082
S0HI00126,John Carroll,R,HI,65799,0,0,0,585,832.0519481,64068,1731
H0MO06073,Sam Graves,R,MO,1286320,200000,0,0,500,843.1041667,283283,1184237
H0NY02085,Steve Israel,D,NY,1388574,96200,0,0,250,565.6530612,609774,501358
H0MA09027,David Rosa,R,MA,3116,0,0,0,1550,1550,3100,16
H2PA09035,Bill Shuster,R,PA,3283314,807300,14000,16975,500,933.4300638,1608300,2783996
H2VA04052,Randy Forbes,R,VA,1458818,75400,0,0,500,657.2685185,851820,419192
H8ME01120,Chellie Pingree,D,ME,559693,90308,23787,0,200,432.2342419,507443,162720
H2MD08126,Chris Van Hollen,D,MD,20087114,3190626,40000,0,250,537.0655925,20699045,3159704
H6AZ01181,Miguel Olivas,D,AZ,750,0,0,0,375,375,750,0
H2FL01100,Jeff Miller,R,FL,667385,155000,0,0,2000,1045.89547,300172,317713
H2MA09072,Stephen F Lynch,D,MA,973606,155000,0,0,500,845.1840355,762356,352250
S0AR00150,John Boozman,R,AR,3555187,934000,11995,0,500,663.1274676,2351450,2092279
H2MN08111,Rick Nolan,D,MN,2029895,306775,40675,50500,50,207.5408052,1144380,9177464
H6CO06017,Chuck Norris,D,CO,8098,0,0,0,250,526.5333333,7898,0
H8CO06138,Mike Coffman,R,CO,2757686,512602,177488,125191,250,639.0350275,1860870,5896551
H2AL03032,Mike D Rogers,R,AL,1005033,115221,0,0,500,882.451417,435931,708823
S0NH00219,Jeanne Shaheen,D,NH,540311,45400,0,0,50,237.8662885,293527,180863
H2SC02059,Joe Wilson,R,SC,970323,120400,0,0,500,654.9968404,414613,642060
H2CT02112,Joe Courtney,D,CT,890626,195000,0,0,250,396.1433371,353756,718420
S2TX00106,John Cornyn,R,TX,1026029,165000,0,0,1500,1620.64488,743876,433153
H2GU00033,Madeleine Z Bordallo,D,GU,174710,10000,0,0,500,529.3089431,130210,52500
H2CA39078,Linda Sanchez,D,CA,1179948,278000,0,0,50,359.181601,300635,1114075
H2GA13012,David Scott,D,GA,1019330,300000,0,0,500,657.7297297,243360,1034270
S2IL00119,James D Oberweis,R,IL,8900,0,0,0,1675,2225,8900,0
H2TX05121,Jeb Hensarling,R,TX,1682650,545000,0,0,1000,1107.030806,934334,1255966
H2TX23082,Henry Cuellar,D,TX,1492257,205000,0,0,500,946.6511628,692002,962255
H2PA18143,Tim Murphy,R,PA,1266219,220000,0,0,500,699.8064993,473769,929050
H2TX31044,John Carter,R,TX,951969,105000,0,0,1000,961.3287037,415294,616175
H2NM02100,John Arthur Smith,D,NM,1000,0,0,0,500,500,1000,0
H2OH03067,Michael R Turner,R,OH,904144,105000,0,0,750,1071.406321,474633,514986
H2TX26093,Michael Burgess,R,TX,1127034,215000,0,0,500,799.9593301,334383,984558
H2IA05072,Steven A King,R,IA,637735,81158,12316,0,100,410.2039801,412255,314954
H2FL22049,John Xuna,D,FL,310,0,0,0,10,61.6,308,0
H2OH17109,Tim Ryan,D,OH,893459,85400,0,0,911,1082.047619,431737,524672
H2AZ07070,Raul M Grijalva,D,AZ,319403,155000,0,0,25,195.7356322,119203,308524
H2UT01094,Rob Bishop,R,UT,883023,171600,0,0,1000,1059.548469,415343,605580
H2FL13139,Jan Schneider,D,FL,33645,15000,0,15000,811,1480.641026,57745,5900
H2FL25018,Mario Diaz-Balart,R,FL,1157333,215000,0,0,1000,1285.642857,413977,937356
H2NY01067,Timothy H Bishop,D,NY,5100,0,0,0,-2,-149.6808511,-7035,-5000
H6TN08227,David Kustoff,R,TN,1049929,60000,0,30596,1000,1111.366348,931325,204150
H2TN07095,Mark Saalfield Norris,R,TN,1000,0,0,0,0,0,0,1000
H2MD02160,Dutch Ruppersberger,D,MD,979770,130000,0,0,500,717.8607407,484556,620714
H2PA11098,Lou Barletta,R,PA,974559,90000,0,0,300,527.1517341,364789,683782
S2NC00257,Sean Haugh,L,NC,4119,0,0,0,59,216.7894737,4119,0
H2OK04055,Tom Cole,R,OK,1528461,273488,0,0,1000,1103.247875,778893,1014106
H2FL06091,David E Bruderly,D,FL,26963,0,0,0,250,573.6808511,26963,0
H2NJ05261,Michael J. Cino,R,NJ,1762,0,0,0,881,881,1762,0
S4HI00144,Colleen Hanabusa,D,HI,772099,190400,0,0,1000,1117.772425,672899,278100
S2SC00079,Victor Kocher,L,SC,2000,0,0,0,2000,2000,2000,0
H4TX19136,Mike Conaway,R,TX,1503511,380000,10000,0,500,808.4164649,667752,1186759
H4TX19102,Randy Neugebauer,R,TX,264200,40000,0,0,500,805.0847458,47500,221500
S4AK00099,Lisa Murkowski,R,AK,4622349,773100,22814,49296,750,1066.914046,3053508,2339751
H4GA12010,John Barrow,D,GA,1000,0,0,0,-1,-160.6666667,-482,-3000
H4TX19185,Donald May,R,TX,46451,0,0,0,500,636.9710145,43951,2500
H4FL20023,Debbie Wasserman Schultz,D,FL,3391617,737823,0,72884,50,511.2485839,3159005,1531465
H4NY29098,Mark Assini,R,NY,179800,5000,0,0,300,559.6380952,176286,8514
H4TX04039,Louis B Gohmert Jr,R,TX,578883,10000,0,0,250,618.8299866,462266,109470
H6NC13061,Vernon Robinson,R,NC,40550,0,0,0,500,745.3703704,40250,0
H4GA06087,Tom Price,R,GA,1793533,320000,0,18015,500,642.3101124,857484,1239964
H4GA08067,Lynn A Westmoreland,R,GA,410864,61200,0,0,875,859.0232558,147752,263012
H4NC05146,Virginia Foxx,R,NC,1360431,120000,0,0,500,844.1398528,802777,668654
H4PA15087,Charlie Dent,R,PA,1473729,185000,12000,0,500,868.0887574,586828,1044485
H6IL13113,David Gill,I,IL,18240,0,0,0,250,405.3333333,18240,0
H6WA05171,Cathy Mcmorris Rodgers,R,WA,2625932,525000,0,0,500,801.3489298,1609910,1499542
H2CA26109,Tony Strickland,R,CA,5950,0,0,0,500,1150,3450,500
H0FL08208,Daniel Webster,R,FL,710454,35000,0,0,300,675.73219,512205,217349
H4CA20082,Jim Costa,D,CA,1683897,170000,0,0,500,1042.24072,926552,940745
H4MI07103,Tim Walberg,R,MI,1834571,414850,68400,0,500,662.600722,917702,1726690
H4NC11052,Patsy Keever,D,NC,1315,0,0,0,0,0,0,1315
H4CA12055,Ro Khanna,D,CA,3596625,18558,0,15356,2500,1732.475845,3586225,177088
H4TX02108,Ted Poe,R,TX,718924,80400,0,0,500,909.2454955,403705,385119
H4TX10093,Michael McCaul,R,TX,1637471,130000,0,0,750,1063.193021,974948,749573
H4CA12089,Barry Hermanson,G,CA,2500,0,0,0,2500,2500,2500,0
H4IN02101,Joe Donnelly,D,IN,1361350,75000,10000,0,500,628.6933868,627436,794549
S6LA00300,Charles W Boustany Jr,R,LA,4838627,592550,35364,53895,700,1028.128945,3420585,3052368
H4NC10047,Patrick McHenry,R,NC,2699041,691300,10000,0,500,913.8554534,1390888,1877914
H4NE01064,Jeff Fortenberry,R,NE,740633,73600,10000,0,500,1001.837264,424779,342054
H4OH14094,Capri Cafaro,D,OH,8456,0,0,0,134,338.24,8456,0
H4TX09095,Al Green,D,TX,656914,95000,0,0,1000,1136.216036,510161,215310
H4TX24094,Kenny Marchant,R,TX,762874,125000,0,0,500,1035.403727,166700,717674
S4CT00146,Jack C Orchulli,R,CT,13365,0,0,0,1095,1336.5,13365,0
S4GA11103,Allen Buckley,L,GA,17203,0,0,0,200,256.761194,17203,0
H4FL14091,Robert M Neeld Jr,D,FL,2500,0,0,0,625,625,2500,0
H4MO05234,Emanuel Cleaver,D,MO,999352,165000,0,0,500,604.6555819,254560,882242
S4LA00065,John Kennedy,R,LA,3936155,637087,30871,34900,1000,1460.085636,3750960,1591663
H4WA08071,Dave Reichert,R,WA,1424805,208600,0,0,500,590.8017335,545310,989795
H4WI04183,Gwen Moore,D,WI,839353,160000,0,0,250,472.9254808,196737,781533
H4CA11081,Jerry McNerney,D,CA,999010,140000,0,0,250,534.3773585,651406,481504
S0FL00353,Marion Thorpe,R,FL,1250,0,0,0,0,0,0,1250
H4NY11138,Yvette D Clarke,D,NY,581166,115000,0,0,500,582.4270073,159585,474261
H4NC01046,G K Butterfield,D,NC,978673,205000,0,0,500,635.1515152,209600,930473
H4NY27076,Brian M Higgins,D,NY,656710,80000,0,0,250,611.6820276,398205,320245
S4NC00105,John Ross Hendrix,D,NC,0,0,0,16666,0,0,0,16666
H6PA12089,Steve Larchuk,D,PA,38565,33200,12500,0,250,662.0588235,56275,0
S4HI00102,Cam Cavasso,R,HI,1300,0,0,0,350,325,1300,0
H4PA08074,Michael G Fitzpatrick,R,PA,33525,23434,0,18047,0,0,0,60256
H4IL03077,Daniel Lipinski,D,IL,706693,155800,0,0,500,954.8617512,207205,636222
H4NJ09095,Michael Wildes,D,NJ,118700,0,0,0,2000,1745.588235,118700,0
S6TN00216,Bob Corker,R,TN,655536,5000,0,0,333,501.2093476,514742,133544
H6CA05195,Doris O Matsui,D,CA,959355,170000,0,0,500,1024.151394,257062,841366
H6FL09070,Gus Bilirakis,R,FL,1218422,110000,0,0,500,750.6386207,544213,777200
S4IA00087,Bruce Braley,D,IA,2090,0,0,0,-2,-5.52173913,-127,33630
H6MN01174,Tim Walz,D,MN,1281565,186600,0,0,250,548.5603517,686249,766316
S6MN00267,Amy Klobuchar,D,MN,1136557,60000,0,0,300,540.5699088,711390,451661
S6NJ00271,Thomas H Kean Jr,R,NJ,1000,0,0,0,0,0,0,1000
S6PA00217,Bob Casey,D,PA,2161405,135000,20000,0,500,831.5248227,1524185,741746
H6CO03139,Scott Tipton,R,CO,1667203,169762,0,0,500,809.442076,873388,2443779
H6CO07023,Edwin G Perlmutter,D,CO,1749161,140400,0,0,250,562.1594684,676840,1266047
H6FL11126,Kathy Castor,D,FL,586183,110000,0,0,250,523.2647658,256923,426660
S2NV00183,Dean Heller,R,NV,1569176,380600,10800,0,500,1011.33966,1012351,724964
H6NJ13191,Albio Sires,D,NJ,573771,80000,0,0,500,690.4624697,285161,353860
H6OH02086,Jean Schmidt,R,OH,1140,0,0,0,1140,1140,1140,0
S6AZ00134,Leonard Clark,D,AZ,2123,0,0,0,311.5,258.5,2068,0
S6RI00221,Sheldon Whitehouse,D,RI,1070652,61600,0,0,250,593.6684673,879223,227471
H6FL11142,Michael Steinberg,D,FL,6764,0,0,0,754.5,845.5,6764,0
S2CT00132,Christopher S Murphy,D,CT,1624254,51200,0,0,100,297.5907824,1388261,249839
S0NV00138,Sharron Angle,R,NV,18890,21600,0,0,368,3476.296296,93860,430
S6MT00162,Jon Tester,D,MT,1553132,116200,10000,0,34,367.9779343,783793,852601
H6NE03115,Adrian Smith,R,NE,980222,155000,0,0,500,657.7229299,206525,911947
H6FL13148,Vernon Buchanan,R,FL,1437441,239774,11986,0,500,984.206383,925154,763687
H6KS01146,Tim Huelskamp,R,KS,920939,270655,103825,135510,200,510.1892103,652532,1558931
S0NY00410,Kirsten Gillibrand,D,NY,1719805,193600,0,0,100,510.9823311,1648429,211724
S6MO00305,Claire McCaskill,D,MO,758752,89000,10000,0,25,335.8120428,596738,240000
H6PA08210,Andy Warren,R,PA,8750,0,0,0,1000,1093.75,8750,0
H6TN04192,Erran Persley,R,TN,250,0,0,0,250,250,250,0
H6IA02146,David Loebsack,D,IA,1379210,302800,0,0,100,251.6044337,726382,942708
H6MD03292,John Sarbanes,D,MD,917089,5000,0,0,1000,1218.429341,905293,3244
H6FL13163,Colin Boyle,I,FL,0,5000,0,0,0,0,0,5000
H6GA04129,Hank Johnson,D,GA,415330,100000,0,0,50,308.1273885,48376,448345
H6IL06141,Tammy Duckworth,D,IL,11538620,1067836,37718,38256,50,249.4770796,10889924,4341478
H6OH04082,Jim Jordan,R,OH,611203,55000,0,0,1000,961.2861635,305689,342214
H6TX22242,Ahmad Hassan,D,TX,25956,5000,0,0,250,471.9272727,25956,5000
S0PA00434,Joe Sestak,D,PA,3351482,167500,10079,31000,66,163.6465419,2737643,2972028
H6KY03124,John A Yarmuth,D,KY,505352,155000,0,0,500,774.080292,212098,438754
H6NH01230,Carol Shea-Porter,D,NH,1275347,249200,25681,0,100,355.2038835,987822,1115841
H6CO05159,Douglas L Lamborn,R,CO,501593,85000,0,0,500,878.030303,144875,429918
S6GA00226,John Coyne,D,GA,620,0,0,0,100,124,620,0
S4HI00136,Brian Schatz,D,HI,3192126,933200,31600,0,200,614.9108568,2310835,1541377
S2HI00106,Mazie K Hirono,D,HI,916133,126400,0,0,500,706.879397,703345,280327
H6CA22125,Kevin McCarthy,R,CA,6610474,1804452,0,0,1650,1659.171274,4921102,3522657
H6ID01201,David Edwin Olson,I,ID,1500,0,0,0,0,0,0,1500
H6MD04183,Donna Edwards,D,MD,3686221,307011,0,30000,100,294.5818966,3348807,4988475
H6MI00194,Frank J Cona,D,MI,2500,0,0,0,0,0,0,2500
H6MN05183,Keith Ellison,D,MN,1457693,167400,10000,0,50,185.183197,1245357,349713
S6FL00376,Alan Grayson,D,FL,3104402,185000,14321,0,20,57.72227942,3027649,112282
H4IL18109,Rob Mellon,D,IL,7788,5000,0,0,300,983.6923077,12788,0
H6MO05189,Jacob Turk,R,MO,56540,0,0,0,500,608.8461538,55405,1135
H6TN01388,Phil Roe,R,TN,398798,0,0,0,1000,884.4107143,346689,23009
S8AK00082,Ray Metcalfe,D,AK,13481,0,0,0,249,519.24,12981,0
H6FL16075,Emmie Ross,I,FL,1000,0,0,0,0,0,0,1000
H6WA07409,Donovan Rivers,D,WA,1433,0,0,0,1433,1433,1433,0
H6NY12115,Allan Romaguera,R,NY,1,0,0,0,0,0,0,1
H8UT03089,Jason Chaffetz,R,UT,1182712,210400,0,0,1000,1318.335556,593251,782661
H6GA09243,Paul Broun,R,GA,89788,5000,0,0,300,363.8214286,40748,14545
S8MN00438,Al Franken,D,MN,1197501,45000,0,0,25,110.9459459,1063195,145360
H8FL16022,Tom Rooney,R,FL,454186,150000,0,0,500,652.5147929,110275,470511
H8MA05143,Niki Tsongas,D,MA,1255987,116600,10000,0,100,401.1377022,967143,389585
H8CT04172,Jim Himes,D,CT,1940589,130400,0,0,500,1035.767081,1000551,1009423
H8KS02090,Lynn Jenkins,R,KS,1959633,195000,0,0,500,926.9891827,771255,1366328
H8CO02137,Jared Polis,D,CO,1183097,393000,27876,15573,500,1368.846886,1868476,56166
H8IL14067,Bill Foster,D,IL,3227763,208000,0,0,250,447.9590415,2635791,774369
H8IL14075,Chris Lauzen,R,IL,25850,5000,0,0,500,807.8125,25850,26000
H8MD01094,Andy Harris,R,MD,1063866,85000,0,0,250,466.6489971,651442,485224
